EEG_Channel_0,EEG_Channel_1,EEG_Channel_2,EEG_Channel_3,EEG_Channel_4,EEG_Channel_5,EEG_Channel_6,EEG_Channel_7
-15245.186119697824,2872.5567904182426,4474.305149830002,2175.8529157463213,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15191.229008582714,2943.5906342972085,4528.955165023228,2219.8411488343654,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15040.019457342562,2970.0103962433814,4700.88478337345,2259.8507714093653,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15075.089344392938,2897.791909908284,4659.511704386676,2219.9976110455527,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15226.947096222293,2868.913456072027,4487.000940680617,2178.535125080958,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15218.386378095911,2923.988154409904,4499.741435020142,2205.58073587188,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15058.303184307002,2968.602236342697,4681.058786041593,2255.0674980959297,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15059.957213396696,2904.2962675447784,4682.35518722,2220.668163379212,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15205.422366311834,2869.248732238857,4509.777368280575,2178.155145425218,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15235.664276559864,2919.5625090077533,4475.668606241776,2195.3659886558044,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15077.749201983119,2973.407861400588,4651.554483360587,2252.340585272382,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15042.254631788092,2917.707314217963,4694.4474809703215,2232.022849562508,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15182.578883478509,2865.2254182369015,4538.365249438912,2183.988950728053,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15250.215262200269,2901.122319832125,4457.809562421985,2187.341712396349,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15107.164097686304,2969.2280851874457,4621.7819597461175,2246.931463114198,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
